date,location,location_name,value
2020-01-22,GM,Germany,0
2020-01-23,GM,Germany,0
2020-01-24,GM,Germany,0
2020-01-25,GM,Germany,0
2020-01-26,GM,Germany,0
2020-01-27,GM,Germany,0
2020-01-28,GM,Germany,0
2020-01-29,GM,Germany,0
2020-01-30,GM,Germany,0
2020-01-31,GM,Germany,0
2020-02-01,GM,Germany,0
2020-02-02,GM,Germany,0
2020-02-03,GM,Germany,0
2020-02-04,GM,Germany,0
2020-02-05,GM,Germany,0
2020-02-06,GM,Germany,0
2020-02-07,GM,Germany,0
2020-02-08,GM,Germany,0
2020-02-09,GM,Germany,0
2020-02-10,GM,Germany,0
2020-02-11,GM,Germany,0
2020-02-12,GM,Germany,0
2020-02-13,GM,Germany,0
2020-02-14,GM,Germany,0
2020-02-15,GM,Germany,0
2020-02-16,GM,Germany,0
2020-02-17,GM,Germany,0
2020-02-18,GM,Germany,0
2020-02-19,GM,Germany,0
2020-02-20,GM,Germany,0
2020-02-21,GM,Germany,0
2020-02-22,GM,Germany,0
2020-02-23,GM,Germany,0
2020-02-24,GM,Germany,0
2020-02-25,GM,Germany,0
2020-02-26,GM,Germany,0
2020-02-27,GM,Germany,0
2020-02-28,GM,Germany,0
2020-02-29,GM,Germany,0
2020-03-01,GM,Germany,0
2020-03-02,GM,Germany,0
2020-03-03,GM,Germany,0
2020-03-04,GM,Germany,0
2020-03-05,GM,Germany,0
2020-03-06,GM,Germany,0
2020-03-07,GM,Germany,0
2020-03-08,GM,Germany,0
2020-03-09,GM,Germany,2
2020-03-10,GM,Germany,2
2020-03-11,GM,Germany,3
2020-03-12,GM,Germany,5
2020-03-13,GM,Germany,5
2020-03-14,GM,Germany,8
2020-03-15,GM,Germany,12
2020-03-16,GM,Germany,12
2020-03-17,GM,Germany,12
2020-03-18,GM,Germany,12
2020-03-19,GM,Germany,20
2020-03-20,GM,Germany,31
2020-03-21,GM,Germany,47
2020-03-22,GM,Germany,55
2020-03-23,GM,Germany,86
2020-03-24,GM,Germany,114
2020-03-25,GM,Germany,149
2020-03-26,GM,Germany,198
2020-03-27,GM,Germany,253
2020-03-28,GM,Germany,325
2020-03-29,GM,Germany,389
2020-03-30,GM,Germany,455
2020-03-31,GM,Germany,583
2020-04-01,GM,Germany,732
2020-04-02,GM,Germany,872
2020-04-03,GM,Germany,1017
2020-04-04,GM,Germany,1158
2020-04-05,GM,Germany,1342
2020-04-06,GM,Germany,1434
2020-04-07,GM,Germany,1607
2020-04-08,GM,Germany,1861
2020-04-09,GM,Germany,2107
2020-04-10,GM,Germany,2373
2020-04-11,GM,Germany,2544
2020-04-12,GM,Germany,2673
2020-04-13,GM,Germany,2799
2020-04-14,GM,Germany,2969
2020-04-15,GM,Germany,3254
2020-04-16,GM,Germany,3569
2020-04-17,GM,Germany,3868
2020-04-18,GM,Germany,4110
2020-04-19,GM,Germany,4294
2020-04-20,GM,Germany,4404
2020-04-21,GM,Germany,4598
2020-04-22,GM,Germany,4879
2020-04-23,GM,Germany,5094
2020-04-24,GM,Germany,5321
2020-04-25,GM,Germany,5500
2020-04-26,GM,Germany,5640
2020-04-27,GM,Germany,5750
2020-04-28,GM,Germany,5913
2020-04-29,GM,Germany,6115
2020-04-30,GM,Germany,6288
2020-05-01,GM,Germany,6481
2020-05-02,GM,Germany,6575
2020-05-03,GM,Germany,6649
2020-05-04,GM,Germany,6692
2020-05-05,GM,Germany,6831
2020-05-06,GM,Germany,6996
2020-05-07,GM,Germany,7119
2020-05-08,GM,Germany,7266
2020-05-09,GM,Germany,7369
2020-05-10,GM,Germany,7395
2020-05-11,GM,Germany,7417
2020-05-12,GM,Germany,7533
2020-05-13,GM,Germany,7634
2020-05-14,GM,Germany,7723
2020-05-15,GM,Germany,7824
2020-05-16,GM,Germany,7881
2020-05-17,GM,Germany,7914
2020-05-18,GM,Germany,7935
2020-05-19,GM,Germany,8007
2020-05-20,GM,Germany,8090
2020-05-21,GM,Germany,8147
2020-05-22,GM,Germany,8174
2020-05-23,GM,Germany,8216
2020-05-24,GM,Germany,8247
2020-05-25,GM,Germany,8257
2020-05-26,GM,Germany,8302
2020-05-27,GM,Germany,8349
2020-05-28,GM,Germany,8411
2020-05-29,GM,Germany,8450
2020-05-30,GM,Germany,8489
2020-05-31,GM,Germany,8500
2020-06-01,GM,Germany,8511
2020-06-02,GM,Germany,8522
2020-06-03,GM,Germany,8551
2020-06-04,GM,Germany,8581
2020-06-05,GM,Germany,8613
2020-06-06,GM,Germany,8646
2020-06-07,GM,Germany,8668
2020-06-08,GM,Germany,8674
2020-06-09,GM,Germany,8711
2020-06-10,GM,Germany,8729
2020-06-11,GM,Germany,8755
2020-06-12,GM,Germany,8763
2020-06-13,GM,Germany,8781
2020-06-14,GM,Germany,8787
