"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","point",NA,1653.90270225936
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","point",NA,2013.8600656223
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","point",NA,2444.5552957388
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","point",NA,3105.52675383528
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.01,963.147468005237
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.025,1022.10398614413
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.05,1084.62806756581
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.1,1170.42314950022
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.15,1232.85302342684
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.2,1285.25562664679
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.25,1334.62721306394
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.3,1385.80199520235
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.35,1441.57829536243
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.4,1504.80660474357
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.45,1575.23110677577
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.55,1736.7714772401
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.6,1821.76711504052
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.65,1912.54503976201
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.7,2017.14175765466
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.75,2152.04792835082
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.8,2327.39573499422
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.85,2576.75922370765
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.9,2965.18979780524
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.95,3566.93823906054
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.975,4292.89396917917
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.99,5508.56831260561
"2021-04-19","1 wk ahead inc death","2021-04-24","GM","quantile",0.5,1653.90270225936
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.01,411.091712866509
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.025,519.81616744302
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.05,644.681593229201
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.1,851.450764506071
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.15,1019.84039497989
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.2,1156.56746562162
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.25,1270.24659508379
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.3,1377.83697772542
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.35,1494.56954672297
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.4,1634.32925932236
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.45,1807.06702291781
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.55,2238.72088767689
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.6,2460.98163410568
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.65,2688.05047592923
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.7,2952.99487160346
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.75,3324.44425362527
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.8,3819.18871342587
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.85,4553.42461136064
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.9,5886.31569692149
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.95,7827.3428811676
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.975,9327.1984662641
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.99,12227.4291317094
"2021-04-19","2 wk ahead inc death","2021-05-01","GM","quantile",0.5,2013.8600656223
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.01,363.26189680816
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.025,483.719286105641
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.05,623.818094618355
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.1,868.862083136264
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.15,1084.84296563037
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.2,1273.39874717819
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.25,1455.18520941696
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.3,1646.95687332537
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.35,1842.88489771904
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.4,2030.82326946426
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.45,2221.54291609748
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.55,2736.15651328235
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.6,3079.79416904719
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.65,3452.85508344367
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.7,3860.34326646776
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.75,4358.69502286005
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.8,5104.36906123812
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.85,6556.64383929152
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.9,8566.13977143513
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.95,13213.3423061661
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.975,15428.4155775776
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.99,20795.2765374708
"2021-04-19","3 wk ahead inc death","2021-05-08","GM","quantile",0.5,2444.5552957388
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.01,324.001760605628
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.025,448.133057599596
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.05,599.332019770537
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.1,858.539162465209
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.15,1116.39282206661
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.2,1363.34918417123
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.25,1602.26726090636
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.3,1846.48630689274
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.35,2141.5993946162
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.4,2488.96585267716
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.45,2827.60239977225
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.55,3434.76480921515
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.6,3928.19201455541
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.65,4403.81514253696
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.7,5007.80551230892
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.75,5848.19210675242
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.8,6970.87852724854
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.85,8990.42414907652
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.9,12429.8341471202
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.95,22198.8388259885
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.975,27477.8750962146
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.99,36221.9859511578
"2021-04-19","4 wk ahead inc death","2021-05-15","GM","quantile",0.5,3105.52675383528
"2021-04-19","-1 wk ahead cum death","2021-04-10","GM13","observed",NA,8553
"2021-04-19","0 wk ahead cum death","2021-04-17","GM13","observed",NA,8733
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","point",NA,8881.0953789547
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","point",NA,9110.68124853588
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","point",NA,9385.51145306398
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","point",NA,9701.72218406041
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.01,8801.57440298607
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.01,8851.47293849801
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.01,8895.23291102975
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.01,8928.503167734
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.025,8807.82377252899
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.025,8868.63798317169
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.025,8927.05190416918
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.025,8976.28320734615
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.05,8813.96841778904
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.05,8884.83320302916
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.05,8955.40244735206
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.05,9022.80395406748
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.1,8822.40056611106
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.1,8906.4864995637
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.1,8991.96469423107
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.1,9079.40403142917
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.15,8829.40706231645
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.15,8925.86650145795
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.15,9024.4760253605
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.15,9129.05179009379
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.2,8836.11384882784
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.2,8947.43531786212
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.2,9063.39107844719
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.2,9190.36138101072
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.25,8843.13767733528
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.25,8973.10028125946
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.25,9114.2116555621
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.25,9267.74793730674
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.3,8850.29225710808
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.3,8999.3804683779
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.3,9162.98264439263
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.3,9339.29438367235
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.35,8857.67616046458
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.35,9025.34957956103
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.35,9210.70770047199
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.35,9409.99842957322
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.4,8865.24197414368
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.4,9053.0732233736
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.4,9264.60589556119
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.4,9493.8952574138
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.45,8873.0060037391
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.45,9081.73775393861
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.45,9322.37542992076
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.45,9590.08542510983
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.5,8881.0953789547
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.5,9110.68124853588
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.5,9385.51145306398
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.5,9701.72218406041
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.55,8889.73667155439
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.55,9140.83903201478
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.55,9457.75099282995
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.55,9838.0665616417
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.6,8899.72138426581
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.6,9175.35032558506
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.6,9534.02275789236
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.6,9979.60273890465
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.65,8912.53912821683
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.65,9223.50457887617
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.65,9627.85810463271
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.65,10121.5995643629
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.7,8930.16304902966
"2021-04-19","2 wk ahead cum death","2021-05-01","GM13","quantile",0.7,9297.5896046275
"2021-04-19","3 wk ahead cum death","2021-05-08","GM13","quantile",0.7,9760.5609896094
"2021-04-19","4 wk ahead cum death","2021-05-15","GM13","quantile",0.7,10301.7589453326
"2021-04-19","1 wk ahead cum death","2021-04-24","GM13","quantile",0.75,8950.7015882627
