"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","point",NA,112506.025327921
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","point",NA,115954.512876707
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","point",NA,121266.954553329
"2021-04-05","4 wk ahead inc case","2021-05-01","GM","point",NA,127748.992841655
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.01,103506.387645244
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.025,104843.353563197
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.05,106007.730579517
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.1,107378.150174415
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.15,108320.343465034
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.2,109078.181537001
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.25,109738.575763552
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.3,110336.941357698
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.35,110897.513200649
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.4,111442.10435014
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.45,111978.562920899
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.55,113042.807685139
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.6,113591.063041119
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.65,114162.138212193
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.7,114775.989600759
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.75,115451.715225621
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.8,116225.899014134
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.85,117148.752122464
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.9,118315.139591081
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.95,120073.939974141
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.975,121595.485925677
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.99,123350.621785961
"2021-04-05","1 wk ahead inc case","2021-04-10","GM","quantile",0.5,112506.025327921
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.01,81369.1054090757
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.025,85396.5402981403
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.05,89122.5861659767
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.1,94029.5215440702
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.15,97298.7971948531
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.2,100049.723920618
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.25,102816.730721219
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.3,105643.552906773
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.35,108332.358357759
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.4,110929.457134337
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.45,113466.01741763
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.55,118540.922943149
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.6,121430.364751299
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.65,124616.273719424
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.7,128062.330917752
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.75,132212.530906978
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.8,137875.051543151
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.85,148173.33012092
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.9,159569.059233129
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.95,177331.728339673
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.975,192042.663057498
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.99,209261.13709302
"2021-04-05","2 wk ahead inc case","2021-04-17","GM","quantile",0.5,115954.512876707
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.01,53030.9154830655
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.025,58777.7223705179
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.05,64453.4287264195
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.1,74751.8251177548
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.15,80864.2128483505
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.2,85598.5844931322
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.25,91365.3414044393
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.3,98533.8453064117
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.35,104480.022622565
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.4,110186.273441431
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.45,116185.97817495
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.55,127055.601173446
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.6,135439.404236934
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.65,144769.333711777
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.7,152772.713351788
"2021-04-05","3 wk ahead inc case","2021-04-24","GM","quantile",0.75,164133.567579579
